t_seconds,error_n1_ρq_tot,increment_ρq_tot,error_n1_ρq_tag_pbl,increment_ρq_tag_pbl,error_n1_ρq_tag_free,increment_ρq_tag_free,error_n1_ρq_tag_evap,increment_ρq_tag_evap,error_n2_ρq_tot,increment_ρq_tot,error_n2_ρq_tag_pbl,increment_ρq_tag_pbl,error_n2_ρq_tag_free,increment_ρq_tag_free,error_n2_ρq_tag_evap,increment_ρq_tag_evap
8640.0,3.970247650640944e-7,0.00010931393041612376,4.962299737523278e-7,0.0001151575270581727,1.7071998342213822e-7,1.6068924551883785e-5,5.840446615257636e-6,7.598234168569438e-5,5.610198617920473e-9,0.00010931393041612376,8.31739693205478e-9,0.0001151575270581727,3.5377468998088373e-9,1.6068924551883785e-5,1.3943828821272668e-7,7.598234168569438e-5
8760.0,3.673837674901401e-7,0.00010099918803725692,4.2948538600415275e-7,0.00010643349464378484,1.1768086081823685e-7,1.732614935310124e-5,5.50266784866646e-6,7.712987952101931e-5,4.396705904340627e-9,0.00010099918803725692,4.7376034643285e-9,0.00010643349464378484,2.5855226891348164e-9,1.732614935310124e-5,1.2863537127449035e-7,7.712987952101931e-5
8880.0,3.5574977773779315e-7,8.99326633443977e-5,3.646194722963494e-7,9.491451911252522e-5,4.616236437004618e-8,2.1249687281917974e-5,5.017663726905762e-6,7.827128457765218e-5,3.873018200020011e-9,8.99326633443977e-5,3.5734582807877584e-9,9.491451911252522e-5,1.5717336724227102e-9,2.1249687281917974e-5,1.1264597491038707e-7,7.827128457765218e-5
9000.0,3.7473112470213787e-7,8.017808711154674e-5,3.2291053393794997e-7,8.491380814665594e-5,7.223491223368912e-8,2.8037618504372348e-5,4.795777287156037e-6,7.940618742285826e-5,3.8611350818444235e-9,8.017808711154674e-5,3.2228681093824105e-9,8.491380814665594e-5,1.4097464537241724e-9,2.8037618504372348e-5,1.0623316113432145e-7,7.940618742285826e-5
9120.0,4.0484679308094765e-7,8.051002640652986e-5,2.3045397681578283e-7,9.312754389941676e-5,2.779571066048864e-7,4.044072608174888e-5,4.864384691513558e-6,8.053401350040737e-5,4.273953404098022e-9,8.051002640652986e-5,7.834111353455458e-9,9.312754389941676e-5,5.6769858994405205e-9,4.044072608174888e-5,1.0819239878928325e-7,8.053401350040737e-5
9240.0,3.7000624354127083e-7,0.00013263318190595834,6.630458131463912e-7,0.00017177435140600095,6.744998432567135e-7,6.061767314463441e-5,4.798625452675383e-6,8.165404106585353e-5,4.51843569908213e-9,0.00013263318190595834,1.8317907848828464e-8,0.00017177435140600095,1.697621053542255e-8,6.061767314463441e-5,1.0040702937000216e-7,8.165404106585353e-5
9360.0,2.45339293543625e-7,0.00019432516476001116,1.3142175689198312e-6,0.0002573626404354219,1.211821624739392e-6,7.898550214746708e-5,4.657871464953604e-6,9.939703326691781e-5,6.923742974569249e-9,0.00019432516476001116,2.7401609827465712e-8,0.0002573626404354219,3.1346154982990203e-8,7.898550214746708e-5,1.1029098037702707e-7,9.939703326691781e-5
9480.0,3.9301898923085496e-7,0.00028087465394920953,2.077557427945262e-6,0.0003750100975256629,1.8582411136304765e-6,0.00010457861429392316,4.728627824193597e-6,0.00012475053575109984,1.3822735918897415e-8,0.00028087465394920953,3.5173081774508394e-8,0.0003750100975256629,4.819066305719977e-8,0.00010457861429392316,1.2031683079970403e-7,0.00012475053575109984
9600.0,5.01179241634107e-7,0.00032210016860275065,2.3710746455273893e-6,0.0004284334781708766,2.0196991403980836e-6,0.0001154502663597883,5.468880390720856e-6,0.0001298103248161024,2.2788988840285657e-8,0.00032210016860275065,3.4700613115374914e-8,0.0004284334781708766,5.125232751751763e-8,0.0001154502663597883,1.2803111772694828e-7,0.0001298103248161024
9720.0,4.902505173816938e-7,0.00032313471295397097,2.2405934277985574e-6,0.00042979883209341566,2.0653660226539416e-6,0.00011606873079829682,5.83510832131156e-6,0.0001209498289299392,3.524341192345835e-8,0.00032313471295397097,4.510295529865251e-8,0.00042979883209341566,6.172164736254105e-8,0.00011606873079829682,1.3783231962038663e-7,0.0001209498289299392
