exclusive_s,inferences,specializations,method
0.186351,81,81,ClimaCore.MatrixFields.getindex /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_dict.jl:304
0.184193,194,194,ClimaCore.Fields.#3 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/broadcast.jl:99
0.183954,14,13,ClimaCore.MatrixFields.field_matrix_solver_cache /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_matrix_solver.jl:349
0.183174,93,41,ClimaCore.DataLayouts.getindex /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/indexing.jl:220
0.182063,415,415,UnrolledUtilities._unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:2
0.180492,14,14,ClimaCore.MatrixFields.#215 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_dict.jl:892
0.179642,76,55,ClimaCore.Fields.Field /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/Fields.jl:37
0.179584,191,96,ClimaCore.DataLayouts.struct_field_view /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/struct_storage.jl:105
0.179429,1037,327,Base.setproperty! Base.jl:50
0.177340,342,117,Base.cvt1 essentials.jl:607
0.175788,14,13,ClimaCore.MatrixFields.check_field_matrix_solver /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_matrix_solver.jl:357
0.174424,47,47,Base.rehash! dict.jl:137
0.173796,1,1,ClimaAtmos.trace_gas_parameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:425
0.169335,9,9,StaticArrays._broadcast /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/StaticArrays/k7bbZ/src/broadcast.jl:111
0.168800,136,125,Base.mapfoldl_impl reduce.jl:42
0.168224,249,249,UnrolledUtilities._unrolled_all /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:25
0.167695,76,76,ClimaCore.Utilities._nested_broadcast /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Utilities/auto_broadcaster.jl:212
